question_id,subject,topic,difficulty,correct_answer,final_answer,tool_answer,tool_correct,tool_confidence,recommended_pipeline,evaluation_mode,ocr_text,ocr_issue,error_type,status,error,needs_manual_review,image_path,expected_solution
cmp_m01,matematik,fonksiyon,orta,C,7,C,True,1.0,both_agree,both,"f(x) = 2x - 3 fonksiyonu veriliyor.
Buna gore f(f(4)) kactir?
A)3 B)5 C)7 D)9 E)11",,,success,,False,data/comparison_questions/cmp_m01_function.png,f(x) = 2x - 3 oldugundan f(f(4)) icin once f(4)=5 bulunur. Sonra f(5)=7 olur.
cmp_m02,matematik,parabol grafiği,orta,D,-1,D,True,1.0,vision_llm,both,"y
3
2
1
I I Xx
2 1 0 1 4 5
7 (2, -1)
2
Grafikte verilen parabolun minimum degeri kactir?
A)-4 B)-3 C)-2 D)-1 E)0",,,success,,False,data/comparison_questions/cmp_m02_parabola_graph.png,"Grafikte parabolun tepe noktasi (2, -1) olarak verilmistir. Minimum deger tepe noktasinin y degeridir."
cmp_m03,matematik,olasılık,orta,B,1/3,B,True,1.0,vision_llm,both,"Bir kutuda 3 kirmizi, 2 mavi ve 1 yesil top vardir.
Rastgele secilen bir topun mavi olma olasiligi nedir?
A) 1/6 B)1/38 ©)1/2 D)2/3 E)5/6",,,success,,False,data/comparison_questions/cmp_m03_probability.png,"Kutuda 3 kirmizi, 2 mavi, 1 yesil top vardir. Toplam 6 top icinde mavi top sayisi 2 oldugundan olasilik 2/6 = 1/3 olur."
cmp_m04,matematik,geometri - alan,orta,C,6,C,True,1.0,vision_llm,both,"Dik ucgenin alani 12 birim kare olduguna gore x kactir?
A)3 B)4 C)6 D)8 E)10
| IN
4",,,success,,False,data/comparison_questions/cmp_m04_triangle_area.png,Dik ucgende alan (dik kenarlar carpimi)/2'dir. 4*x/2 = 12 den x = 6 bulunur.
cmp_m05,matematik,trigonometri,orta,C,5,C,True,0.9,both_agree,both,"Dar aci A icin sin A= 3/5 veriliyor.
Buna gore 5*cos A+ 1 kactir?
A)3 B)4 C)5 D)6 E)7",,,success,,False,data/comparison_questions/cmp_m05_trigonometry.png,sin A = karsi/hipotenus = 3/5 ise 3-4-5 dik ucgeninden cos A = 4/5 olur. 5*cos A + 1 = 4 + 1 = 5.
cmp_m06,matematik,aritmetik dizi,orta,D,25,C,False,0.9,both_agree,both,"Bir aritmetik dizide a1 = 7 ve a4 = 16'dir.
Buna gore a7 kactir?
A)19 B)21 ©C)23 D)25 £E)27",,solution_or_model_error,success,,True,data/comparison_questions/cmp_m06_sequence.png,Aritmetik dizide ortak fark 3'tur. a7 = a1 + 6d = 7 + 18 = 25 olur.
cmp_m07,matematik,türev,orta,B,8,B,True,1.0,vision_llm,both,"f(x) = x43 - 2x42 + 4x fonksiyonu veriliyor.
Buna gore f(2) kactir?
A)6 B)8 C)10 D)12 E)14",,,success,,False,data/comparison_questions/cmp_m07_derivative.png,"f'(x) = 3x^2 - 4x oldugundan f'(2) = 12 - 8 = 4 degil; soru f(x)=x^3-2x^2+4x icin f'(x)=3x^2-4x+4, f'(2)=12-8+4=8 olur."
cmp_m08,matematik,belirli integral,orta,E,10,A,False,1.0,vision_llm,both,"Sekilde boyali bélgenin alani kactir?
A)4 B)¥% 8 D)9 £E)10
2
x
2",,solution_or_model_error,success,,True,data/comparison_questions/cmp_m08_integral_area.png,Integral 0'dan 2'ye (3x+2) dx = [(3/2)x^2 + 2x]_0^2 = 6 + 4 = 10 olur.
cmp_m09,matematik,logaritma,orta,C,5,C,True,1.0,both_agree,both,"log2(x - 1) = 3 olduguna gore
x - 4 kactir?
A)3 B)4 C)5 D)6 EB)8",,,success,,False,data/comparison_questions/cmp_m09_logarithm.png,"log2(x-1)=3 ise x-1=2^3=8, buradan x=9 olur. Koku sorulan ifade x-4 oldugundan 5'tir."
cmp_m10,matematik,tablo yorumlama,orta,D,42,A,False,0.9,vision_llm,both,"Kirtasiye fiyat tablosu:
2 defter ve 3 kalem alan bir ogrenci toplam kac TL oder?
A)36 B)38 C)40 D)42 £E)45",,solution_or_model_error,success,,True,data/comparison_questions/cmp_m10_table.png,2 defter 36 TL ve 3 kalem 6 TL tuttugundan toplam 42 TL olur.
